市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩、土石流及び地滑,高潮,地震,津波,大規模火災,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
14100,神奈川県横浜市,1,横浜市立さちが丘小学校　校舎６,神奈川県横浜市旭区さちが丘110-1,1,1,,1,,,,,1,35.456809,139.522987,
14100,神奈川県横浜市,2,横浜市立さちが丘小学校　校舎４,神奈川県横浜市旭区さちが丘110-1,1,1,,1,,,,,1,35.456915,139.523303,
14100,神奈川県横浜市,3,横浜市立さちが丘小学校　校舎５,神奈川県横浜市旭区さちが丘110-1,1,1,,1,,,,,1,35.457028,139.522992,
14100,神奈川県横浜市,4,横浜市立さちが丘小学校　体育館,神奈川県横浜市旭区さちが丘110-1,1,1,,1,,,,,1,35.457163,139.522831,
14100,神奈川県横浜市,5,横浜市立さちが丘小学校　校舎１８,神奈川県横浜市旭区さちが丘110-1,1,1,,1,,,,,1,35.456766,139.523212,
14100,神奈川県横浜市,6,横浜市立さちが丘小学校　校舎１７－１,神奈川県横浜市旭区さちが丘110-1,1,1,,1,,,,,1,35.456757,139.522499,
14100,神奈川県横浜市,7,横浜市立旭中学校　体育館,神奈川県横浜市旭区今宿2-40-1,1,1,,1,,,,,1,35.473849,139.518202,
14100,神奈川県横浜市,8,横浜市立旭中学校　校舎７,神奈川県横浜市旭区今宿2-40-1,1,1,,1,,,,,1,35.474155,139.517446,
14100,神奈川県横浜市,9,横浜市立旭中学校　校舎１,神奈川県横浜市旭区今宿2-40-1,1,1,,1,,,,,1,35.474194,139.517977,
14100,神奈川県横浜市,10,横浜市立今宿中学校　校舎４,神奈川県横浜市旭区今宿東町825,1,1,,1,,,,,1,35.485081,139.536791,
14100,神奈川県横浜市,11,横浜市立今宿中学校　体育館,神奈川県横浜市旭区今宿東町825,1,1,,1,,,,,1,35.484954,139.537285,
14100,神奈川県横浜市,12,横浜市立今宿中学校　校舎１,神奈川県横浜市旭区今宿東町825,1,1,,1,,,,,1,35.48474,139.536904,
14100,神奈川県横浜市,13,横浜市立今宿小学校　体育館,神奈川県横浜市旭区今宿東町829,1,,,1,,,,,1,35.484282,139.535826,
14100,神奈川県横浜市,14,横浜市立今宿小学校　校舎２,神奈川県横浜市旭区今宿東町829,1,1,,1,,,,,1,35.484391,139.536668,
14100,神奈川県横浜市,15,横浜市立今宿小学校　校舎１,神奈川県横浜市旭区今宿東町829,1,1,,1,,,,,1,35.484199,139.53647,
14100,神奈川県横浜市,16,横浜市立今宿南小学校　校舎１１,神奈川県横浜市旭区今宿南町1879-2,1,1,,1,,,,,1,35.47893,139.529263,
14100,神奈川県横浜市,17,横浜市立今宿南小学校　体育館,神奈川県横浜市旭区今宿南町1879-2,1,1,,1,,,,,1,35.479035,139.528512,
14100,神奈川県横浜市,18,横浜市立今宿南小学校　校舎１－１,神奈川県横浜市旭区今宿南町1879-2,1,1,,1,,,,,1,35.479183,139.52915,
14100,神奈川県横浜市,19,旧横浜市立左近山第二小学校　体育館,神奈川県横浜市旭区左近山1011,1,1,,1,,1,,,1,35.457473,139.556826,
14100,神奈川県横浜市,20,旧横浜市立左近山第二小学校　校舎４－４,神奈川県横浜市旭区左近山1011,1,1,,1,,1,,,1,35.457341,139.556789,
14100,神奈川県横浜市,21,旧横浜市立左近山第二小学校　校舎１,神奈川県横浜市旭区左近山1011,1,,,1,,1,,,1,35.45715,139.556166,
14100,神奈川県横浜市,22,左近山中学校体育館４－１,神奈川県横浜市旭区左近山1335-2,1,1,,1,,,,,,35.45921468,139.5507632,
14100,神奈川県横浜市,23,左近山中学校校舎３,神奈川県横浜市旭区左近山1335-2,1,1,,1,,,,,,35.45988321,139.5510261,
14100,神奈川県横浜市,24,左近山中学校校舎１,神奈川県横浜市旭区左近山1335-2,1,1,,1,,,,,,35.45958101,139.5510715,
14100,神奈川県横浜市,25,横浜市立左近山小学校　校舎６,神奈川県横浜市旭区左近山1997-2,1,,,1,,1,,,1,35.462084,139.549322,
14100,神奈川県横浜市,26,横浜市立左近山小学校　校舎３１,神奈川県横浜市旭区左近山1997-2,1,1,,1,,1,,,1,35.46172972,139.549196,
14100,神奈川県横浜市,27,横浜市立左近山小学校　体育館,神奈川県横浜市旭区左近山1997-2,1,1,,1,,1,,,1,35.46194648,139.5501485,
14100,神奈川県横浜市,28,横浜市立左近山小学校　校舎１,神奈川県横浜市旭区左近山1997-2,1,,,1,,1,,,1,35.462377,139.549853,
14100,神奈川県横浜市,29,横浜市立笹野台小学校　校舎２,神奈川県横浜市旭区笹野台4-48-1,1,1,,1,,,,,1,35.47348,139.510298,
14100,神奈川県横浜市,30,横浜市立笹野台小学校　校舎７－１,神奈川県横浜市旭区笹野台4-48-1,1,1,,1,,,,,1,35.473196,139.510685,
14100,神奈川県横浜市,31,横浜市立笹野台小学校　体育館,神奈川県横浜市旭区笹野台4-48-1,1,1,,1,,,,,1,35.473105,139.510685,
14100,神奈川県横浜市,32,横浜市立市沢小学校　体育館,神奈川県横浜市旭区市沢町781,1,1,,1,,,,,1,35.462128,139.559311,
14100,神奈川県横浜市,33,横浜市立市沢小学校　校舎１,神奈川県横浜市旭区市沢町781,1,1,,1,,,,,1,35.461713,139.558861,
14100,神奈川県横浜市,34,横浜市立若葉台特別支援学校　体育館,神奈川県横浜市旭区若葉台2-1-1,1,1,,1,,1,,,1,35.503293,139.502261,
14100,神奈川県横浜市,35,横浜市立若葉台特別支援学校　校舎２,神奈川県横浜市旭区若葉台2-1-1,1,1,,1,,1,,,1,35.502699,139.501773,
14100,神奈川県横浜市,36,横浜市立若葉台特別支援学校　校舎１,神奈川県横浜市旭区若葉台2-1-1,1,1,,1,,1,,,1,35.502961,139.502336,
14100,神奈川県横浜市,37,横浜市立若葉台小学校　校舎１,神奈川県横浜市旭区若葉台2-14-1,1,1,,1,,,,,1,35.508659,139.500575,
14100,神奈川県横浜市,38,横浜市立若葉台小学校　校舎１１,神奈川県横浜市旭区若葉台2-14-1,1,1,,1,,,,,1,35.508292,139.500575,
14100,神奈川県横浜市,39,横浜市立若葉台小学校　校舎９－１,神奈川県横浜市旭区若葉台2-14-1,1,1,,1,,,,,1,35.508689,139.500865,
14100,神奈川県横浜市,40,横浜市立若葉台小学校　校舎１０－１,神奈川県横浜市旭区若葉台2-14-1,1,1,,1,,,,,1,35.508471,139.500436,
14100,神奈川県横浜市,41,横浜市立若葉台小学校　体育館,神奈川県横浜市旭区若葉台2-14-1,1,,,1,,,,,1,35.508327,139.501289,
14100,神奈川県横浜市,42,旧横浜市立若葉台西中学校　体育館,神奈川県横浜市旭区若葉台4-34-1,1,1,,1,,1,,,1,35.50558,139.49078,
